"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"Cntrst Cntrl";;;
2;"U5";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC08";;;
3;"J5";"IDC-Header_2x08_P2.54mm_Vertical";1;"Locker4-6";;;
4;"J6";"IDC-Header_2x08_P2.54mm_Vertical";1;"Locker1-3";;;
5;"J12";"TerminalBlock_RND_205-00060_1x06_P5.00mm_45Degree";1;" ";;;
6;"J10";"TerminalBlock_Altech_AK300-4_P5.00mm";1;"Speaker";;;
7;"J2";"TerminalBlock_Altech_AK300-4_P5.00mm";1;"RAW in";;;
8;"P1";"USB_C_SMD";1;"USB_C_Plug";;;
9;"DB3";"PAM8403_DB";1;"PAM8403_DB";;;
10;"SD1";"Micro_SD_Module";1;"microSD_Adapter";;;
11;"DB2";"LM2576_DB";1;"+12V_DB";;;
12;"DB1";"LM2576_DB";1;"+5V_DB";;;
13;"U4";"TQFP-100_14x14mm_P0.5mm";1;"ATmega2560-16AU";;;
14;"R14,R13,R12,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0Ω";;;
15;"U2";"SOT-223";1;"ams1117-3.3V";;;
16;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"12MHz";;;
17;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16MHz";;;
18;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
19;"TX1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"TX";;;
20;"SW1";"SW_SPST_TL3342";1;"RST";;;
21;"RX1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RX";;;
22;"R37,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1MΩ";;;
23;"R10,R9,R5,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"330Ω";;;
24;"R6,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5K1";;;
25;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1KΩ";;;
26;"PWR1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"PWR";;;
27;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
28;"J3";"PinHeader_1x08_P2.54mm_Vertical";1;"3x4 Keypad";;;
29;"J1";"PinSocket_1x16_P2.54mm_Vertical";1;"16x2 LCD Display";;;
30;"H4,H3,H2,H1";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole";;;
31;"D13";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D13";;;
32;"D4,D3";"D_SOD-123F";2;"D_Schottky";;;
33;"C52,C51,C50,C37,C16,C15,C14,C12,C6,C5,C4,C3,C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";14;"100nF";;;
34;"C18,C17,C11,C10,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"22pF";;;
35;"C8,C7";"C_Elec_4x5.4";2;"10µF";;;
36;"TP1";"logoinv";1;"TestPoint";;;
